Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,228.500000,229.000000,227.000000,227.500000,219.500000,20649609
2017-12-12,229.500000,229.500000,225.000000,227.500000,219.500000,21796584
2017-12-13,227.500000,228.000000,226.500000,227.000000,219.017578,17920331
2017-12-14,228.000000,230.500000,227.500000,230.500000,222.394501,17193313
2017-12-15,228.500000,230.000000,226.500000,230.000000,221.912094,42625779
2017-12-18,227.000000,228.000000,226.500000,227.000000,219.017578,14564664
2017-12-19,226.500000,228.500000,224.000000,225.000000,217.087906,25714129
2017-12-20,225.000000,225.500000,223.500000,224.500000,216.605499,26289333
2017-12-21,226.500000,227.000000,224.500000,225.000000,217.087906,18558164
2017-12-22,225.000000,227.500000,224.000000,227.500000,219.500000,19036483
2017-12-25,228.000000,229.500000,226.500000,228.500000,220.464828,4579675
2017-12-26,229.000000,229.000000,225.000000,226.000000,218.052750,13755843
2017-12-27,225.000000,226.000000,225.000000,225.000000,217.087906,12515245
2017-12-28,226.500000,228.000000,225.000000,226.000000,218.052750,24304371
2017-12-29,227.500000,230.000000,226.500000,229.500000,221.429672,25007443
2018-01-02,231.500000,232.500000,231.000000,232.500000,224.324173,18055269
2018-01-03,236.000000,238.000000,235.500000,237.000000,228.665939,29308091
2018-01-04,240.000000,240.000000,236.500000,239.500000,231.078018,29096613
2018-01-05,240.000000,240.000000,238.000000,240.000000,231.560440,22438255
2018-01-08,242.000000,242.500000,240.500000,242.000000,233.490112,20233692
2018-01-09,242.000000,242.000000,239.500000,242.000000,233.490112,19043123
2018-01-10,241.500000,242.000000,236.000000,236.500000,228.183517,23631220
2018-01-11,235.000000,236.000000,232.500000,235.000000,226.736267,30446338
2018-01-12,234.500000,238.000000,233.500000,237.000000,228.665939,21513291
2018-01-15,240.000000,240.000000,238.000000,240.000000,231.560440,27476533
2018-01-16,240.000000,240.500000,238.000000,240.500000,232.042862,21691632
2018-01-17,240.500000,243.000000,239.000000,242.000000,233.490112,38046119
2018-01-18,245.000000,250.000000,245.000000,248.500000,239.761536,49896952
2018-01-19,253.500000,255.500000,251.500000,255.500000,246.515381,50549292
2018-01-22,257.500000,262.000000,257.000000,261.500000,252.304398,43400509
2018-01-23,262.500000,266.000000,262.500000,266.000000,256.646149,33527444
2018-01-24,263.000000,263.000000,256.500000,258.000000,248.927475,41874813
2018-01-25,258.000000,264.000000,256.500000,258.000000,248.927475,44643756
2018-01-26,256.500000,257.500000,253.500000,255.000000,246.032974,39555523
2018-01-29,259.000000,261.500000,255.000000,258.500000,249.409897,30071234
2018-01-30,256.000000,257.500000,252.500000,253.000000,244.103302,36860591
2018-01-31,253.000000,257.500000,252.000000,255.000000,246.032974,44136808
2018-02-01,257.500000,261.000000,257.000000,259.500000,250.374725,30559457
2018-02-02,259.000000,260.000000,255.000000,259.500000,250.374725,25707560
2018-02-05,251.000000,254.500000,250.500000,253.000000,244.103302,45594379
2018-02-06,242.500000,243.500000,234.000000,239.000000,230.595612,102409048
2018-02-07,245.000000,245.500000,239.500000,240.000000,231.560440,80063178
2018-02-08,239.500000,242.000000,238.000000,238.500000,230.113190,30989550
2018-02-09,230.000000,233.000000,228.500000,232.500000,224.324173,65735265
2018-02-12,235.500000,237.500000,235.000000,236.500000,228.183517,35635236
2018-02-21,244.500000,244.500000,242.000000,242.500000,233.972534,71504174
2018-02-22,244.000000,244.000000,239.000000,239.500000,231.078018,39239993
2018-02-23,241.000000,245.000000,241.000000,245.000000,236.384613,26985776
2018-02-26,247.000000,247.500000,245.000000,246.500000,237.831863,35901810
2018-02-27,250.500000,250.500000,246.000000,246.000000,237.349457,40818119
2018-03-01,244.000000,245.000000,242.000000,243.000000,234.454941,39719984
2018-03-02,240.000000,241.000000,238.500000,240.000000,231.560440,35139170
2018-03-05,242.500000,243.000000,240.500000,241.500000,233.007690,27337846
2018-03-06,245.500000,250.000000,245.500000,250.000000,241.208786,34890780
2018-03-07,248.000000,248.500000,246.000000,247.000000,238.314285,30391219
2018-03-08,249.500000,251.500000,249.000000,249.500000,240.726379,20645694
2018-03-09,250.000000,251.000000,248.500000,250.500000,241.691208,19831063
2018-03-12,252.000000,255.000000,251.500000,254.000000,245.068130,24492615
2018-03-13,255.500000,259.000000,255.000000,259.000000,249.892303,33756883
2018-03-14,256.500000,257.500000,255.500000,257.000000,247.962631,23772838
2018-03-15,258.000000,258.000000,255.000000,255.000000,246.032974,19396493
2018-03-16,253.000000,256.000000,249.500000,255.000000,246.032974,62929326
2018-03-19,252.500000,255.500000,251.000000,255.000000,246.032974,21440766
2018-03-20,253.000000,254.000000,251.500000,253.000000,244.103302,21840151
2018-03-21,255.000000,255.000000,251.000000,252.500000,243.620880,28976737
2018-03-22,254.500000,254.500000,249.500000,251.500000,242.656052,27000668
2018-03-23,245.000000,247.000000,244.000000,245.000000,236.384613,52498390
2018-03-26,241.500000,244.500000,241.500000,243.500000,234.937363,36987945
2018-03-27,248.000000,251.000000,247.000000,251.000000,242.173630,31008260
2018-03-28,247.500000,248.000000,244.000000,245.000000,236.384613,29637411
2018-03-29,243.000000,247.000000,242.500000,244.000000,235.419785,36165345
2018-03-30,247.500000,249.500000,246.000000,246.000000,237.349457,16996346
2018-04-02,248.500000,249.000000,245.000000,246.500000,237.831863,17696003
2018-04-03,243.000000,244.500000,242.000000,244.000000,235.419785,35813944
2018-04-09,248.000000,248.000000,243.500000,245.000000,236.384613,34694824
